comment_id,video_title,author_name,comment_text,like_count,sentiment_label,sentiment_score,published_at
UgyK7XQvQShoJ_Ly_vZ4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@Artist_Aarti,Thank you so much ❤,0,POSITIVE,0.9998,2026-05-06 18:14:57
UgzRIseN0yreLqJ6re94AaABAg,Most Important Current Affairs Update | Breaking News of Past 24 Hours  #shorts #news #breakingnews,@aspirantkavitakushwaha9370,thanks ma'am ji wonderful revision 👍❣️🥰,0,POSITIVE,0.9999,2026-05-06 18:06:45
Ugzc9PCgye1HkJXRLTd4AaABAg,Most Important Current Affairs Update | Breaking News of Past 24 Hours  #shorts #news #breakingnews,@SharwanpanditSharwanpandit,Thank you so much ma'am,0,POSITIVE,0.9998,2026-05-06 16:14:12
Ugzu2ScsIXM68RJ31zl4AaABAg,SSC में Selection चाहिए | तो पेश है Indi's Top SSC Faculty | SSC Pratham Batch | SSC 2026,@RakeshsoniSoni-g3t6d,Best faulty ❤❤,0,NEGATIVE,0.9982,2026-05-06 15:09:06
UgyYtmQvueIACdgAtyB4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@AnuRaj-f1i,"Sanjay ghandi  राष्ट्रीय उद्यान > महाराष्ट्र,,",0,POSITIVE,0.7841,2026-05-06 14:15:52
UgzBW745i_1p28JtXy14AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@AnuRaj-f1i,लॉन्चिंग of uber cup >  dakhin koriya,0,POSITIVE,0.9181,2026-05-06 14:12:43
UgwcLxzF2rjOMiYnp5J4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@AnuRaj-f1i,Et कोयला  is best कोयला mam ji,1,POSITIVE,0.7269,2026-05-06 14:00:23
UgzWunuMWwxkFZ2OtPZ4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@AnuRaj-f1i,लॉन्चिंग of राष्ट्रीय सम्मेलन  > from  delhi,2,POSITIVE,0.8924,2026-05-06 13:52:42
Ugyci2PCdN1g-RJy72V4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@AnuRaj-f1i,22 april ko 2026 rewards milta  h,2,POSITIVE,0.9989,2026-05-06 13:50:15
UgwlTVn9n9h_yxdirtd4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@luckyaryanraja555,thanku mam,0,POSITIVE,0.9997,2026-05-06 12:32:31
UgzgqqJpX-gXKa_oRo54AaABAg,SSC CGL 2025 | The Pundits MeetUp | Topper Meetup 🚀| Rakesh Yadav Sir,@Dibbanjalendra,Abhinay sir se milna h ❤❤,0,POSITIVE,0.9736,2026-05-06 12:14:49
UgxvG0lyFvgEhVY2Bhl4AaABAg,SSC CGL 2025 | The Pundits MeetUp | Topper Meetup 🚀| Rakesh Yadav Sir,@ThePundits_Official,Thanks for attending the event sir ❤,2,POSITIVE,0.9995,2026-05-06 12:01:41
Ugz_CMAe0Otvjp61qRJ4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@ZishuTv506,Ma'am last 6 month kra dijiye education government schemes Book author and award science and technology sports current  affairs who is who,0,POSITIVE,0.9742,2026-05-06 12:00:45
Ugzp-F6TGsSohRENZp94AaABAg,Daily Current Affairs 2026 | 5 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@LearnAndMotivation,Thanks you ❤,1,POSITIVE,0.9997,2026-05-06 11:56:04
UgwtgWydKJjEtzni6Jt4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@Suchitadas-x2e,😢,0,NEGATIVE,0.6971,2026-05-06 11:40:35
UgxqBuBVZSbJ6ryym6p4AaABAg,SSC CGL 2025 | The Pundits MeetUp | Topper Meetup 🚀| Rakesh Yadav Sir,@amit11-1,Abhinay sir se milna hai,3,POSITIVE,0.9919,2026-05-06 11:39:24
UgwPCoHyi720OzgDjz14AaABAg,Most Important Current Affairs Update | Breaking News of Past 24 Hours  #shorts #news #breakingnews,@All_Gaming_Shorts793,Thanks you ma'am,1,POSITIVE,0.9998,2026-05-06 11:01:55
UgwdHaKrGlEcK1p2P3B4AaABAg,SSC CGL 2025 | The Pundits MeetUp | Topper Meetup 🚀| Rakesh Yadav Sir,@NeeshuYadav-g7o,Jandar🔥🔥   sandar❤️❤️❤️❤️  Rakesh sir,2,POSITIVE,0.9797,2026-05-06 10:46:23
Ugw9tjMPRFGy7Tp2DTZ4AaABAg,SSC CGL 2025 | The Pundits MeetUp | Topper Meetup 🚀| Rakesh Yadav Sir,@LalanKumar-t2m1f,Editor ko salute ❤❤❤,2,POSITIVE,0.7046,2026-05-06 10:21:46
UgxjO490stGbxxP7OD14AaABAg,Daily Current Affairs 2026 | 5 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@SharwanpanditSharwanpandit,Thank you so much ma'am,0,POSITIVE,0.9998,2026-05-06 10:16:27
UgzSpg37fOLZZI0AO3J4AaABAg,Most Important Current Affairs Update | Breaking News of Past 24 Hours  #shorts #news #breakingnews,@AKANKSHAT-4J,Thankyou mam ❤,1,POSITIVE,0.999,2026-05-06 10:11:22
UgwYQNh1e4fkcyBJF9F4AaABAg,Daily Current Affairs 2026 | 5 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@luckyaryanraja555,thanku mam,0,POSITIVE,0.9997,2026-05-06 10:00:23
UgyF7Dr5QsAOpQ9BLKZ4AaABAg,Most Important Current Affairs Update | Breaking News of Past 24 Hours  #shorts #news #breakingnews,@Ankita_Vishwakarma_0786,Thank you so much for fabulous information Guru maa 🙏🙏🙏🎉🎉🎉,1,POSITIVE,0.9998,2026-05-06 08:50:11
UgyHtTJsrMmpW9nDBPJ4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@RupaliKumari-i6i,Thanks mam😊😊,0,POSITIVE,0.9997,2026-05-06 08:37:57
Ugw-Tbv9FWdWnHivz_F4AaABAg,SSC CGL 2025 | The Pundits MeetUp | Topper Meetup 🚀| Rakesh Yadav Sir,@Preetimaurya-w9l,Bharat Sir 😊,3,POSITIVE,0.9897,2026-05-06 08:25:32
UgwPY135W2T01Ktuhcx4AaABAg,SSC CGL 2025 | The Pundits MeetUp | Topper Meetup 🚀| Rakesh Yadav Sir,@shivsagarvilogs,Mai bhi ek din aunga sir apse milne,3,POSITIVE,0.8966,2026-05-06 08:22:05
UgyiXvJ3upOkCpDksw14AaABAg,SSC CGL 2025 | The Pundits MeetUp | Topper Meetup 🚀| Rakesh Yadav Sir,@TitliAsoLife,Sir mai 1 saal sai preperation kr rhe ssc CGL ka,1,NEGATIVE,0.9928,2026-05-06 08:20:26
UgzVd_RkgBejxgigzhl4AaABAg,SSC  में टॉप रैंक कैसे लाते हैं सफल स्टूडेंट्स  India's Top SSC Faculty #shorts #ssc,@Official_paras_sharma,Sir kab sa suru ha ya bach,0,POSITIVE,0.967,2026-05-06 08:18:20
UgxquZHzwpgy0qumthN4AaABAg,SSC CGL 2025 | The Pundits MeetUp | Topper Meetup 🚀| Rakesh Yadav Sir,@Engineer_Ankul_7415,चमकेंगे हम भी एक दिन🎉🎉🎉🎉🎉🎉🎉🎉🎉राकेश सर 👑 किंग ऑफ math,4,NEGATIVE,0.852,2026-05-06 08:11:32
UgzDO8VGVb_pQ7FEduF4AaABAg,SSC CGL 2025 | The Pundits MeetUp | Topper Meetup 🚀| Rakesh Yadav Sir,@viratyadav-xn9rg,Rakesh Sir Respect button 🔘✅,8,POSITIVE,0.9884,2026-05-06 08:04:19
UgwQrlikH0gEpJqVMax4AaABAg,SSC  में टॉप रैंक कैसे लाते हैं सफल स्टूडेंट्स  India's Top SSC Faculty #shorts #ssc,@Radio09foya,Jaldi kijiye,0,POSITIVE,0.5662,2026-05-06 07:51:04
Ugw27K02S17u81Vm46V4AaABAg,Most Important Current Affairs Update | Breaking News of Past 24 Hours  #shorts #news #breakingnews,@PritiSaini-b3g,"thank youuuuuuu so ma'am ma'am  for this given information. ......😍🥰🫶✨
very helpful information ❤❤🙏🙏💐💐",0,POSITIVE,0.9979,2026-05-06 07:32:10
Ugy_OpOvvJ0_Bt0V6fJ4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@RAGHAVGUPTA-f2v,Sports current affairs mam,0,POSITIVE,0.9293,2026-05-06 07:17:16
Ugx8Ej2ztrgTWWcKdMx4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@kamaljitsingh1749,hlo jayshree mam first of all thnkuu soo much to giving us superb content on youtube regarding current affairs mam please i have one query mam plese put ths weekly test in mcq form at carreewil app bcs its very hlpfull please mam if you see my this comment please do this bcs after 18 april you did not put any weekly test on app.thnkuu so much mam and if any mistake so sorry,0,NEGATIVE,0.98,2026-05-06 07:02:45
UgyQaOc8Hae_K0QI8RV4AaABAg,Most Important Current Affairs Update | Breaking News of Past 24 Hours  #shorts #news #breakingnews,@HarHarMahadev-p1f,🕉️ Very nice information Thank you so much Ma'am ji 🙏😊💯🔥,1,POSITIVE,0.9998,2026-05-06 07:01:30
UgwbAXW9RLJ1D96Lwp54AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@Sonam-y2r1p,History class mam please start kar wa do,0,NEGATIVE,0.8852,2026-05-06 06:52:21
Ugy9VLC4-7KQXXT-yLp4AaABAg,Most Important Current Affairs Update | Breaking News of Past 24 Hours  #shorts #news #breakingnews,@DUJA-b7e,Thanku ma'am 🙏♥🙏,0,POSITIVE,0.9996,2026-05-06 06:23:35
UgwbmGidlAyIh7nqI_d4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@AnkitRaaj-n2k,Thanks❤,0,NEGATIVE,0.6971,2026-05-06 06:23:12
Ugxpb7JD_9a-xDWVjQR4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@All_Gaming_Shorts793,Thanks you so much ma'am,1,POSITIVE,0.9998,2026-05-06 06:20:29
UgwOv-e_hmdXiv9ZV9R4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@vikrantkumar4967,Maam spotify me continue class diya kigyr plzz,0,NEGATIVE,0.9768,2026-05-06 06:17:06
UgzifB4i3bLAjNVNowB4AaABAg,SSC  में टॉप रैंक कैसे लाते हैं सफल स्टूडेंट्स  India's Top SSC Faculty #shorts #ssc,@Virat_lovers_cricketer,❤❤❤❤❤❤❤❤,0,NEGATIVE,0.6971,2026-05-06 06:06:31
Ugz07b6Dr-loMAHMnAl4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@BabitaKumari-v2u8j,Mama history ka class kab  hoga,0,NEGATIVE,0.9749,2026-05-06 06:04:17
Ugwjo33_AmstHQnoHh14AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@priyanshibhandari8630,Mam ap history bhi bhut acha padhati ho please medieval India padha dijiye 🙏,2,POSITIVE,0.9589,2026-05-06 06:00:55
Ugwqt7tAo-Ck07S5hIJ4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@ShivamKumar-w8r5d,Nice class mam,2,POSITIVE,0.9998,2026-05-06 05:40:07
UgyylQtJuHdz0T0ppi94AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@NehaKumari-w9m9h,Thank you mam ❤❤❤,0,POSITIVE,0.9997,2026-05-06 05:37:39
Ugx8vFB3ABmMufUT1Eh4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@NisthaSingh-t4x,Stenographer ki GS ke liye bhi kuch layee,0,NEGATIVE,0.8962,2026-05-06 05:07:35
Ugx7FncV4o2SdKxng894AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@NisthaSingh-t4x,Mam History class resume kar dejiye please mam 🙏,0,NEGATIVE,0.9744,2026-05-06 05:00:19
Ugw70ArYuql9h6cYm9p4AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@roshanikhatun-n9v,Thank you so much mam ji 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,1,POSITIVE,0.9997,2026-05-06 04:34:42
UgwenbjPl2PHfCSUvxx4AaABAg,Daily Current Affairs 2026 | 5 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@Study.1-j3w,Respect for you maam,0,POSITIVE,0.9995,2026-05-06 04:01:04
Ugxv4UPBprMlvJ1mbLB4AaABAg,Daily Current Affairs 2026 | 5 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@Study.1-j3w,Maam you are best ❤,0,POSITIVE,0.9994,2026-05-06 04:00:54
Ugzw8K8kaTGnUQ3JAiZ4AaABAg,Careerwill क्यों है Top पर |  India's Top Teaching Faculty For SSC Preparation | SSC  #shorts #ssc,@Study.1-j3w,Thanku sir 🤩,0,POSITIVE,0.9997,2026-05-06 04:00:21
UgwuHxhGBTqyvqQPjSl4AaABAg,Careerwill क्यों है Top पर |  India's Top Teaching Faculty For SSC Preparation | SSC  #shorts #ssc,@Study.1-j3w,Careerwill is world best plateform,0,POSITIVE,0.9989,2026-05-06 04:00:16
UgyImSepREU6rufHAK94AaABAg,Daily Current Affairs 2026 | 6 May Current Affairs 2026 | Current Affairs Today | Jayshree Ma'am,@VikramkumarMishra-p3c,मेम 2 बजे वाले histroy की क्लास कब से होगा मेम,2,NEGATIVE,0.9163,2026-05-06 03:54:29
